Nike,Fashion,5212.0,2026-08-02 09:26:11,true,2025-09-10,7415.0,101,Nike Footwear System,262,Footwear,Beck-West
Apple,Electronics,25573.0,2026-08-02 09:26:11,true,2026-01-24,35213.0,102,Apple Laptops Successful,257,Laptops,Jones-Mckenzie
Amul,Grocery,1080.0,2026-08-02 09:26:11,true,2024-09-17,1487.0,103,Amul Beverages Deal,106,Beverages,Vega LLC
Levi's,Fashion,3948.0,2026-08-02 09:26:11,true,2024-12-14,5955.0,104,Levi's Footwear Join,396,Footwear,"Shannon, Dunn and Golden"
Nike,Fashion,6441.0,2026-08-02 09:26:11,true,2026-02-09,9762.0,105,Nike Women's Clothing Color,22,Women's Clothing,"David, Valdez and Travis"
Nivea,Beauty,543.0,2026-08-02 09:26:11,true,2024-12-12,922.0,106,Nivea Skincare Popular,316,Skincare,"Mcdonald, Middleton and Nelson"
Kellogg's,Grocery,60.0,2026-08-02 09:26:11,true,2024-09-10,91.0,107,Kellogg's Dairy Near,146,Dairy,Oconnor-Stevenson
Britannia,Grocery,699.0,2026-08-02 09:26:11,true,2025-08-09,1101.0,108,Britannia Dairy International,497,Dairy,"Ferguson, Johnson and Miranda"
Dell,Electronics,69268.0,2026-08-02 09:26:11,true,2024-11-10,83338.0,109,Dell Mobile Phones Method,360,Mobile Phones,Mason-Cisneros
Dell,Electronics,36661.0,2026-08-02 09:26:11,true,2026-03-26,42683.0,110,Dell Mobile Phones Ten,294,Mobile Phones,"Bell, Baker and Holmes"
Britannia,Grocery,489.0,2026-08-02 09:26:11,true,2024-09-11,732.0,111,Britannia Fruits Figure,192,Fruits,"Smith, Harris and Taylor"
Havells,Home,18712.0,2026-08-02 09:26:11,true,2025-08-24,27676.0,112,Havells Bedding Recent,108,Bedding,"Whitaker, Aguilar and Gamble"
Nivea,Beauty,150.0,2026-08-02 09:26:11,true,2025-01-31,240.0,113,Nivea Personal Care Affect,261,Personal Care,"Sims, Cox and Cruz"
Zara,Fashion,3944.0,2026-08-02 09:26:11,true,2025-08-21,7665.0,114,Zara Kidswear Number,307,Kidswear,Mann-Long
Dell,Electronics,32471.0,2026-08-02 09:26:11,true,2025-10-09,39781.0,115,Dell Laptops Try,3,Laptops,Rose-Lopez
Samsung,Electronics,26358.0,2026-08-02 09:26:11,true,2025-11-28,31428.0,116,Samsung Cameras Nothing,379,Cameras,Diaz-Mullins
Dell,Electronics,77413.0,2026-08-02 09:26:11,true,2025-11-30,90219.0,117,Dell Laptops Civil,138,Laptops,"Maynard, Smith and Sexton"
